id,sepal width (cm),petal width (cm),"('sepal width (cm)', 'petal width (cm)')"
0,0,0,0.3359999999999996
1,0,0,0.2129999999999997
2,0,0,0.20699999999999974
3,0,0,0.32299999999999957
4,0,0,1.719250000000001
5,0,0,2.130000000000002
6,0,0,0.20699999999999974
7,0,0,0.19599999999999965
8,0,0,0.13199999999999978
9,0,0,1.4671666666666667
10,0,0,0.17199999999999974
11,0,0,0.14199999999999977
12,0,0,2.031666666666668
13,0,0,2.034990476190475
14,0,0,1.3559999999999994
15,0,0,1.7608333333333346
16,0,0,0.25600000000000006
17,0,0,2.128666666666667
18,0,0,1.3940333333333337
19,0,0,1.9214166666666674
20,0,0,2.0590666666666646
21,0,0,0.31499999999999956
22,0,0,1.1419999999999988
23,0,0,0.19699999999999968
24,0,0,1.2359999999999987
25,0,0,0.1749999999999998
26,0,0,0.32299999999999957
27,0,0,0.19899999999999968
28,0,0,0.21199999999999966
29,0,0,2.107666666666668
30,0,0,1.0679999999999996
31,0,0,0.1939999999999997
32,0,0,0.2069999999999997
33,0,0,2.079999999999999
34,0,0,2.010366666666667
35,0,0,0.19199999999999967
36,0,0,0.21699999999999975
37,0,0,1.302999999999999
38,0,0,0.19499999999999967
39,0,0,1.3950000000000011
40,0,0,0.19199999999999967
41,0,0,0.19599999999999965
42,0,0,2.1640000000000006
43,0,0,0.19499999999999967
44,0,0,2.202166666666666
45,0,0,0.21400000000000005
46,0,0,1.9543500000000014
47,0,0,1.03
48,0,0,0.3399999999999995
49,0,0,1.4006666666666667
50,0,0,0.19499999999999967
51,0,0,1.4266666666666665
52,0,0,1.2559999999999985
53,0,0,1.4416666666666669
54,0,0,0.22299999999999962
55,0,0,1.7827500000000003
56,0,0,0.22299999999999962
57,0,0,1.1639999999999986
58,0,0,0.19399999999999967
59,0,0,1.4529999999999996
60,0,0,2.0759999999999974
61,0,0,1.2539999999999984
62,0,0,2.0099999999999985
63,0,0,1.9932666666666663
64,0,0,0.2039999999999997
65,0,0,0.19199999999999967
66,0,0,2.0311666666666657
67,0,0,0.19899999999999968
68,0,0,0.1939999999999997
69,0,0,1.302999999999999
70,0,0,1.0749999999999995
71,0,0,0.2069999999999997
72,0,0,1.9406666666666674
73,0,0,1.0390000000000001
74,0,0,2.1040000000000023
